registration,clubName,forename,surname,mobileNo,dateOfBirth,position,shirtNumber
414298,Hawick Hawks,Marie,Farley,07558 287184,07/12/2003,Defender,2
414665,Edinburgh Eagles,Kristie,Heath,07817 215601,24/02/2004,Defender,6
416165,Dundee Tacklers,Maribel,Castro,07258 326841,12/10/1996,Striker,14
416607,Aviemore Aces,Jimmie,Griffin,07981 624016,11/03/2004,Striker,14
420080,Hawick Hawks,Roseann,Mcclure,07821 202371,03/12/2003,Defender,5
421294,Edinburgh Eagles,Maggie,Wise,07120 806667,15/07/2001,Midfielder,17
423351,Stirling Speed,Julia,Sanders,07110 232900,16/10/2005,Striker,11
423504,Nairn Wanderers,Lois,Stafford,07377 777793,21/03/2005,Defender,18
425125,Paisley City,Erma,Gonzales,07421 956959,05/08/1999,Midfielder,8
425328,Aviemore Aces,Erica,Christensen,07384 341861,17/04/1999,Goalkeeper,1
443842,Glasgow Flyers,Rosanna,Orr,07741 735074,23/02/2000,Defender,2
447544,Dundee Tacklers,Felecia,Greer,07517 596321,17/11/2004,Midfielder,17
454654,Portree Strikers,Corina,Bullock,07882 907792,13/06/1993,Striker,11
456200,Aviemore Aces,Margarita,Barajas,07336 720709,21/06/1995,Midfielder,7
461816,Inverness Athletic,Shari,Roberson,07218 888381,02/07/2002,Defender,6
462459,Paisley City,Kerri,Meyers,07173 328895,10/09/1997,Goalkeeper,1
470303,Dumfries City,Nettie,Booker,07183 671292,08/09/1996,Defender,6
470452,Edinburgh Eagles,Selena,Rush,07957 924936,09/05/2004,Striker,10
472112,Glasgow Flyers,Phyllis,Little,07196 910854,26/09/1993,Defender,4
472284,Dundee North,Evangelina,Cantu,07600 746926,16/12/1999,Goalkeeper,20
483867,Aberdeen Angels,Sharron,Benton,07268 114726,25/08/1996,Defender,5
495935,Dumfries City,Heidi,Bautista,07555 575630,19/12/1995,Goalkeeper,1
502843,Dumfries City,Luann,Gilbert,07434 749694,21/07/1992,Midfielder,17
508407,Dumfries City,Barbara,Riddle,07987 190911,10/08/2000,Goalkeeper,20
509940,Inverness Athletic,Marta,Lawrence,07376 990138,12/11/1994,Striker,10
511953,Paisley City,Janell,Copeland,07848 807794,18/09/1992,Midfielder,7
512758,North Berwick Hearts,Hallie,May,07818 205204,20/04/1993,Striker,14
512810,Glasgow Flyers,Tricia,Blake,07207 104590,11/09/1992,Midfielder,9
517976,Aberdeen Angels,Barbara,White,07209 495910,01/09/2004,Defender,18
518615,Paisley City,Joanna,Richards,07572 861176,02/04/2000,Defender,4
527479,Dundee Tacklers,Colette,Mora,07227 777066,20/04/2005,Midfielder,9
537705,Dundee Tacklers,Elvira,Little,07944 729799,23/02/2000,Striker,11
540271,North Berwick Hearts,Sonia,Frank,07747 343576,21/03/1999,Striker,10
548747,Aberdeen Angels,Whitney,Spencer,07231 854918,26/02/1994,Midfielder,16
549776,Glasgow Flyers,Aurora,Villegas,07496 622109,07/08/1996,Goalkeeper,1
554770,Dundee North,Elsa,Soto,07412 289542,12/05/1991,Goalkeeper,1
555356,Aviemore Aces,Mercedes,Briggs,07748 227055,08/02/1995,Striker,10
557331,Inverness Athletic,Nadia,Velez,07465 863114,07/12/1991,Defender,18
557715,Stirling Speed,Trina,Zimmerman,07314 890570,23/05/2003,Midfielder,8
558708,Aviemore Aces,Veronica,Deleon,07552 601086,12/10/1997,Defender,4
568631,Oban United,Staci,Garza,07536 203061,21/08/2004,Midfielder,9
568957,Dumfries City,Jenna,Everett,07709 370105,27/07/2003,Striker,14
572413,Portree Strikers,Alissa,Bean,07585 683808,28/11/2000,Defender,5
574559,Nairn Wanderers,Karin,Mcknight,07651 284988,03/01/1991,Striker,11
576296,Dumfries City,Rachael,Cain,07475 697326,17/03/1998,Striker,10
579891,Nairn Wanderers,Lila,Horn,07874 809506,23/05/2001,Defender,19
581649,Inverness Athletic,Marva,Miller,07890 241607,17/11/2001,Goalkeeper,20
583858,Inverness Athletic,Robyn,Larsen,07994 329758,25/10/2000,Midfielder,9
584792,Dundee Tacklers,Elizabeth,Austin,07202 653548,02/01/1995,Midfielder,7
585496,Dundee North,Carolyn,Moss,07481 743804,22/06/2001,Midfielder,16
585695,Glasgow Flyers,Sally,Navarro,07982 771245,24/04/1997,Striker,10
591267,Dumfries City,Justine,Miranda,07986 372927,18/07/1995,Striker,11
592003,Oban United,Yvette,Phelps,07709 273070,26/08/1996,Striker,11
596123,Portree Strikers,Lori,Holden,07373 238835,28/10/1995,Midfielder,16
597332,Glasgow Flyers,Desiree,Garcia,07552 135654,02/10/1993,Midfielder,16
598516,Dumfries City,Francis,Holden,07725 756305,08/10/1998,Striker,15
599268,Paisley City,Sharlene,Estes,07718 962607,19/06/1999,Defender,18
599478,Dumfries City,Georgina,Friedman,07787 936122,03/07/1997,Defender,3
600668,Glasgow Flyers,Diann,Williams,07755 448929,13/03/1992,Defender,19
602102,Dundee North,Nelda,Lucas,07554 699873,02/05/2003,Striker,10
602426,North Berwick Hearts,Inez,Graves,07767 207668,19/06/2003,Midfielder,9
602996,Edinburgh Eagles,Rosemary,Gibbs,07845 605868,13/10/2001,Striker,11
610906,Edinburgh Eagles,Sondra,Taylor,07217 831988,27/08/2002,Defender,5
613147,Oban United,Tabatha,Vaughn,07767 863303,04/08/1991,Goalkeeper,20
615917,Stirling Speed,Claudine,Neal,07523 690127,08/04/2000,Striker,13
618252,Portree Strikers,Milagros,Tran,07277 463669,15/02/1997,Midfielder,8
619679,Dumfries City,Cleo,Roth,07968 575436,02/02/1994,Midfielder,9
621815,Dumfries City,Jodie,Koch,07297 206398,18/09/1992,Striker,13
621918,Nairn Wanderers,Rosie,Schmitt,07905 596771,04/03/2005,Defender,3
624726,Dundee Tacklers,Serena,Garrison,07636 359136,02/07/2000,Defender,5
627835,Dundee Tacklers,Fran,Stephenson,07709 694329,03/02/1995,Defender,18
633346,Aviemore Aces,Lola,Gomez,07294 925784,13/07/2000,Midfielder,17
634047,Inverness Athletic,Kathryn,Conner,07773 915148,25/03/2005,Defender,3
638551,Portree Strikers,Yesenia,Mcgrath,07493 178887,05/12/1994,Striker,13
640361,North Berwick Hearts,Jacklyn,Keller,07897 711737,17/11/1994,Midfielder,8
644634,Glasgow Flyers,Martina,Wilkinson,07278 922011,22/10/1991,Defender,6
655995,Edinburgh Eagles,Deloris,Reyes,07319 521642,08/01/2004,Striker,12
656172,Aviemore Aces,Dionne,Brewer,07478 836331,10/11/2000,Defender,3
661957,Aberdeen Angels,Colleen,Copeland,07619 688811,04/06/2005,Defender,2
663833,Aviemore Aces,Kris,Higgins,07594 189905,08/12/1999,Defender,6
665403,Edinburgh Eagles,Socorro,Farley,07153 236353,11/05/1991,Defender,19
666141,Portree Strikers,Jerry,Ferrell,07264 730126,27/09/2004,Goalkeeper,20
669301,Dundee North,Katheryn,Hayes,07260 226409,19/12/2000,Striker,11
674037,Paisley City,Christine,Coffey,07391 307094,20/10/1993,Defender,2
676315,Portree Strikers,Elvia,Rivers,07340 286539,16/08/1999,Midfielder,7
677067,Dumfries City,Magdalena,Gomez,07471 809755,21/03/1998,Defender,18
682863,Portree Strikers,Lora,Price,07498 273071,19/09/2002,Defender,3
683059,Portree Strikers,Daphne,Mcbride,07285 469332,15/05/2002,Defender,4
685706,Hawick Hawks,Meagan,Andrews,07634 616827,04/09/1992,Midfielder,16
695338,Glasgow Flyers,Flossie,Cunningham,07641 309257,05/01/1999,Striker,14
703584,Inverness Athletic,Irene,Frey,07112 158587,28/03/2001,Midfielder,17
705664,Edinburgh Eagles,Melba,Sutton,07775 602219,19/08/2000,Midfielder,9
709586,Stirling Speed,Lena,Bernard,07252 891223,04/03/1993,Striker,15
711431,Inverness Athletic,Lolita,Huerta,07141 990328,13/03/1996,Defender,4
713613,Aviemore Aces,Imogene,Burton,07708 130213,06/09/2003,Striker,15
716251,North Berwick Hearts,Stacy,Holmes,07801 750913,24/12/1993,Midfielder,17
719952,Portree Strikers,Sallie,Campbell,07827 909236,01/08/1995,Defender,6
722503,Portree Strikers,Keisha,Herrera,07550 296113,28/07/2001,Striker,14
723605,Dumfries City,Tamara,Hamilton,07532 649738,05/12/1991,Defender,5
724012,Aviemore Aces,Shelly,Woodward,07826 932817,17/03/2002,Defender,2
727030,Portree Strikers,Doreen,Merritt,07692 494284,20/03/1995,Midfielder,17
729990,Hawick Hawks,Esmeralda,Molina,07624 926379,27/04/1999,Striker,10
731277,North Berwick Hearts,Florine,Rojas,07760 958154,22/05/1999,Defender,3
736360,Oban United,Vivian,Delacruz,07628 107861,14/08/1994,Defender,6
737426,Glasgow Flyers,Julie,Lara,07974 206143,19/12/1998,Midfielder,8
745093,North Berwick Hearts,Addie,Donovan,07784 445761,08/04/2003,Striker,12
751721,Inverness Athletic,Maryanne,Rubio,07808 650719,18/10/2004,Striker,11
752409,Aviemore Aces,Lolita,Faulkner,07949 913709,01/05/1991,Striker,11
753573,Portree Strikers,Norma,Howell,07479 890220,22/10/2005,Striker,2
757157,Stirling Speed,Belinda,Jordan,07700 343510,14/07/2004,Defender,18
757514,Nairn Wanderers,Rachel,Hubbard,07261 457482,28/04/2004,Goalkeeper,1
759580,Oban United,Ernestine,Morse,07871 616688,24/01/1995,Defender,2
760265,Edinburgh Eagles,Cecelia,Ellis,07376 590635,26/06/1993,Defender,2
762515,North Berwick Hearts,Crystal,Donaldson,07550 642587,15/10/1997,Defender,6
770165,Stirling Speed,Harriett,Wilson,07328 144345,03/12/1991,Defender,19
772308,Dundee Tacklers,Juanita,Gaines,07474 659316,10/11/2000,Defender,4
773232,Inverness Athletic,Muriel,Moon,07317 722561,27/07/2000,Goalkeeper,1
773968,Inverness Athletic,Leola,Bates,07503 923702,26/05/2000,Striker,13
774024,Oban United,Lindsey,Vega,07875 781794,23/09/2001,Midfielder,17
782969,Dundee North,Catalina,Walker,07661 196621,18/04/2004,Defender,4
783554,Stirling Speed,Margret,Strong,07560 414347,17/06/2004,Striker,14
785856,Dundee North,Inez,Copeland,07182 868567,05/01/1994,Striker,15
789059,Inverness Athletic,Tamra,Hendricks,07299 180515,13/05/2003,Striker,14
789131,Glasgow Flyers,Marissa,Browning,07935 119814,15/11/1991,Defender,5
789143,Portree Strikers,Imogene,Carr,07845 200771,14/10/2001,Goalkeeper,1
796985,Portree Strikers,Cristina,Fields,07446 969246,24/09/1992,Striker,12
800140,Stirling Speed,Jasmine,Hartman,07211 284527,27/12/2003,Midfielder,9
800939,Aberdeen Angels,Sharon,Lester,07339 329590,07/03/1997,Goalkeeper,20
803058,Hawick Hawks,Ernestine,Nash,07905 364691,01/05/1994,Striker,14
803390,Dundee Tacklers,Georgia,Aguirre,07297 466698,12/11/1997,Defender,3
804301,North Berwick Hearts,Esperanza,Reid,07286 876434,21/07/1996,Defender,18
806404,Nairn Wanderers,Guadalupe,Cline,07235 668520,24/05/2002,Striker,13
808642,Portree Strikers,Jeanne,Bass,07717 545189,26/06/2000,Defender,19
814209,Aviemore Aces,Noreen,Glass,07818 672368,18/03/1993,Midfielder,8
815040,Paisley City,Marjorie,Fitzgerald,07693 467404,10/10/1999,Striker,13
815074,Stirling Speed,Anne,Porter,07613 262808,18/04/2004,Defender,2
820696,Dundee Tacklers,Alta,Kemp,07190 204098,26/09/2001,Striker,15
825692,Edinburgh Eagles,Tonya,Frank,07361 271617,12/12/2003,Striker,13
826093,North Berwick Hearts,Lakeisha,Kaiser,07217 988760,24/12/2003,Midfielder,16
826655,Paisley City,Ernestine,Atkins,07808 265517,21/09/2003,Striker,14
826732,Stirling Speed,Bernice,Russell,07896 298231,24/04/1995,Defender,6
829682,Hawick Hawks,Chelsea,Sosa,07746 374107,11/05/1993,Midfielder,9
830868,Nairn Wanderers,Candy,Strong,07992 352345,27/04/1998,Striker,14
832159,Hawick Hawks,Graciela,Watson,07547 593912,26/07/2002,Defender,19
832762,Oban United,Kate,Potter,07663 380392,16/08/2005,Striker,14
834017,Inverness Athletic,Annie,Spears,07480 100093,19/11/1991,Defender,19
834306,Portree Strikers,Marquita,Carney,07447 704911,04/04/2005,Midfielder,9
837935,Dundee North,Shelia,Drake,07284 827500,05/07/1991,Defender,5
840938,Paisley City,Della,Chaney,07519 594750,15/07/1995,Defender,19
841725,Dundee North,Teri,Baird,07251 815485,25/10/2001,Defender,18
845112,Nairn Wanderers,Luella,Beard,07540 349447,12/01/1991,Defender,5
845190,North Berwick Hearts,Lucinda,Strickland,07328 649680,24/03/2003,Defender,4
847115,Paisley City,Rosetta,Floyd,07132 714504,15/05/2003,Striker,15
862104,Aberdeen Angels,James,Austin,07617 959081,20/05/1998,Midfielder,7
867559,Dumfries City,Bernadette,Lin,07336 401951,25/03/1997,Midfielder,8
869739,Nairn Wanderers,Maggie,Bush,07499 891099,21/10/2004,Midfielder,16
884962,Inverness Athletic,Maryann,Leonard,07652 226805,20/08/2003,Midfielder,7
890411,Paisley City,Nellie,Pham,07996 882778,09/04/2003,Midfielder,16
891026,Dumfries City,Maritza,Carroll,07890 803715,06/08/2004,Defender,2
897407,Aberdeen Angels,Leann,Combs,07155 312920,05/05/1993,Defender,4
901185,Hawick Hawks,Lavonne,Fry,07609 763687,13/10/2001,Defender,3
913355,Inverness Athletic,Ester,Mcknight,07302 877150,02/10/1997,Striker,15
914360,Dundee North,Latonya,Madden,07279 439832,08/12/1993,Defender,6
914966,Aviemore Aces,Lawanda,Meadows,07244 978006,01/12/1999,Midfielder,9
921947,Dundee North,Toni,Mcpherson,07779 199921,21/03/2002,Midfielder,9
922059,Glasgow Flyers,Mamie,Walter,07942 215396,28/12/1997,Striker,11
922848,Portree Strikers,Jill,Briggs,07721 565007,10/11/2000,Defender,2
928523,Dundee Tacklers,Imogene,Obrien,07192 203568,13/09/1994,Defender,2
932191,Dumfries City,Miranda,Roman,07612 711164,14/12/1991,Striker,12
935992,Glasgow Flyers,Pam,Hill,07140 359455,16/09/1997,Midfielder,17
939960,Oban United,Ashlee,Norman,07222 310869,11/08/1999,Midfielder,7
942161,Hawick Hawks,Kristy,Meza,07928 870564,06/03/1996,Goalkeeper,20
948963,Dundee Tacklers,Kelsey,Mccann,07274 666633,13/11/2004,Striker,10
949460,Dundee North,Debbie,Riley,07316 179481,16/04/1991,Midfielder,7
953310,Aberdeen Angels,Candice,Guzman,07607 334500,28/06/2001,Striker,10
953975,Aberdeen Angels,Olivia,Foley,07204 246539,14/10/2000,Goalkeeper,1
958668,Aviemore Aces,Christy,Hanson,07263 367101,27/11/2005,Goalkeeper,20
960326,Nairn Wanderers,Ann,Kelley,07280 632139,27/07/2002,Goalkeeper,20
965177,Hawick Hawks,Lauren,Winters,07536 369025,06/04/2001,Defender,18
965464,Paisley City,Heather,York,07604 124331,12/09/1998,Midfielder,17
966869,Paisley City,Bobbi,Kane,07993 507381,15/07/2002,Defender,5
970187,Edinburgh Eagles,Chelsea,Lawson,07306 884879,15/11/2003,Defender,3
976797,North Berwick Hearts,Mai,Rose,07632 378432,11/09/1993,Midfielder,7
977386,Glasgow Flyers,Tania,Mccoy,07414 771119,03/10/1991,Striker,15
977509,Dundee Tacklers,Juana,Ellison,07138 109336,17/11/1994,Striker,13
982749,North Berwick Hearts,Adela,Saunders,07516 725942,02/01/1995,Striker,11
988303,Aberdeen Angels,Eloise,Stark,07480 649804,05/05/1998,Striker,11
993025,Stirling Speed,Lela,Cruz,07444 658711,28/07/2000,Midfielder,16
995755,Dumfries City,Ola,Frederick,07906 702878,11/01/2003,Defender,4
995949,Inverness Athletic,Pearlie,Vazquez,07133 142754,11/02/2005,Defender,5
